t,hid,x,y,r
1.000,13,12.4600,0.5980,0.266
1.000,14,13.2800,0.2307,0.318
1.000,15,14.1000,1.1619,0.295
1.040,0,1.8000,-1.2081,0.299
1.040,1,2.6200,-0.1384,0.289
1.040,2,3.4400,-0.2630,0.267
1.040,3,4.2600,0.0343,0.276
1.040,4,5.0800,-0.8876,0.329
1.040,5,5.9000,-2.0671,0.307
1.040,6,6.7200,-0.3730,0.328
1.040,7,7.5400,-1.0740,0.305
1.040,8,8.3600,-0.5475,0.282
1.040,9,9.1800,0.9418,0.278
1.040,10,10.0000,-1.3810,0.305
1.040,11,10.8200,0.2735,0.275
1.040,12,11.6400,-1.1921,0.320
1.040,13,12.4600,0.5871,0.266
1.040,14,13.2800,0.2145,0.318
1.040,15,14.1000,1.1835,0.295
1.080,0,1.8000,-1.2219,0.299
1.080,1,2.6200,-0.1417,0.289
1.080,2,3.4400,-0.2583,0.267
1.080,3,4.2600,0.0481,0.276
1.080,4,5.0800,-0.9036,0.329
1.080,5,5.9000,-2.0837,0.307
1.080,6,6.7200,-0.3764,0.328
1.080,7,7.5400,-1.0845,0.305
1.080,8,8.3600,-0.5404,0.282
1.080,9,9.1800,0.9559,0.278
1.080,10,10.0000,-1.3889,0.305
1.080,11,10.8200,0.2793,0.275
1.080,12,11.6400,-1.1857,0.320
1.080,13,12.4600,0.5764,0.266
1.080,14,13.2800,0.1985,0.318
1.080,15,14.1000,1.2049,0.295
1.120,0,1.8000,-1.2355,0.299
1.120,1,2.6200,-0.1452,0.289
1.120,2,3.4400,-0.2539,0.267
1.120,3,4.2600,0.0615,0.276
1.120,4,5.0800,-0.9192,0.329
1.120,5,5.9000,-2.1000,0.307
1.120,6,6.7200,-0.3797,0.328
1.120,7,7.5400,-1.0948,0.305
1.120,8,8.3600,-0.5331,0.282
1.120,9,9.1800,0.9697,0.278
1.120,10,10.0000,-1.3970,0.305
1.120,11,10.8200,0.2849,0.275
1.120,12,11.6400,-1.1797,0.320
1.120,13,12.4600,0.5659,0.266
1.120,14,13.2800,0.1828,0.318
1.120,15,14.1000,1.2262,0.295
1.160,0,1.8000,-1.2489,0.299
1.160,1,2.6200,-0.1490,0.289
1.160,2,3.4400,-0.2499,0.267
1.160,3,4.2600,0.0746,0.276
1.160,4,5.0800,-0.9345,0.329
1.160,5,5.9000,-2.1159,0.307
1.160,6,6.7200,-0.3827,0.328
1.160,7,7.5400,-1.1047,0.305
1.160,8,8.3600,-0.5255,0.282
1.160,9,9.1800,0.9832,0.278
1.160,10,10.0000,-1.4056,0.305
1.160,11,10.8200,0.2901,0.275
1.160,12,11.6400,-1.1740,0.320
1.160,13,12.4600,0.5557,0.266
1.160,14,13.2800,0.1675,0.318
1.160,15,14.1000,1.2472,0.295
1.200,0,1.8000,-1.2621,0.299
1.200,1,2.6200,-0.1531,0.289
1.200,2,3.4400,-0.2462,0.267
1.200,3,4.2600,0.0874,0.276
1.200,4,5.0800,-0.9495,0.329
1.200,5,5.9000,-2.1316,0.307
1.200,6,6.7200,-0.3855,0.328
1.200,7,7.5400,-1.1144,0.305
1.200,8,8.3600,-0.5176,0.282
1.200,9,9.1800,0.9963,0.278
1.200,10,10.0000,-1.4144,0.305
1.200,11,10.8200,0.2951,0.275
1.200,12,11.6400,-1.1686,0.320
1.200,13,12.4600,0.5456,0.266
1.200,14,13.2800,0.1524,0.318
1.200,15,14.1000,1.2681,0.295
1.240,0,1.8000,-1.2750,0.299
1.240,1,2.6200,-0.1574,0.289
1.240,2,3.4400,-0.2428,0.267
1.240,3,4.2600,0.0999,0.276
1.240,4,5.0800,-0.9642,0.329
1.240,5,5.9000,-2.1469,0.307
1.240,6,6.7200,-0.3882,0.328
1.240,7,7.5400,-1.1238,0.305
1.240,8,8.3600,-0.5094,0.282
1.240,9,9.1800,1.0091,0.278
1.240,10,10.0000,-1.4236,0.305
1.240,11,10.8200,0.2999,0.275
1.240,12,11.6400,-1.1636,0.320
1.240,13,12.4600,0.5358,0.266
1.240,14,13.2800,0.1376,0.318
1.240,15,14.1000,1.2888,0.295
1.280,0,1.8000,-1.2878,0.299
1.280,1,2.6200,-0.1621,0.289
1.280,2,3.4400,-0.2397,0.267
1.280,3,4.2600,0.1121,0.276
1.280,4,5.0800,-0.9786,0.329
1.280,5,5.9000,-2.1619,0.307
1.280,6,6.7200,-0.3906,0.328
1.280,7,7.5400,-1.1329,0.305
1.280,8,8.3600,-0.5009,0.282
1.280,9,9.1800,1.0216,0.278
1.280,10,10.0000,-1.4332,0.305
1.280,11,10.8200,0.3043,0.275
1.280,12,11.6400,-1.1590,0.320
1.280,13,12.4600,0.5262,0.266
1.280,14,13.2800,0.1231,0.318
1.280,15,14.1000,1.3093,0.295
1.320,0,1.8000,-1.3003,0.299
1.320,1,2.6200,-0.1670,0.289
1.320,2,3.4400,-0.2369,0.267
1.320,3,4.2600,0.1240,0.276
1.320,4,5.0800,-0.9926,0.329
1.320,5,5.9000,-2.1766,0.307
1.320,6,6.7200,-0.3929,0.328
1.320,7,7.5400,-1.1418,0.305
1.320,8,8.3600,-0.4922,0.282
1.320,9,9.1800,1.0337,0.278
1.320,10,10.0000,-1.4430,0.305
1.320,11,10.8200,0.3085,0.275
1.320,12,11.6400,-1.1547,0.320
1.320,13,12.4600,0.5167,0.266
1.320,14,13.2800,0.1090,0.318
1.320,15,14.1000,1.3296,0.295
1.360,0,1.8000,-1.3126,0.299
1.360,1,2.6200,-0.1723,0.289
1.360,2,3.4400,-0.2345,0.267
1.360,3,4.2600,0.1356,0.276
1.360,4,5.0800,-1.0064,0.329
1.360,5,5.9000,-2.1910,0.307
1.360,6,6.7200,-0.3949,0.328
1.360,7,7.5400,-1.1504,0.305
1.360,8,8.3600,-0.4832,0.282
1.360,9,9.1800,1.0455,0.278
1.360,10,10.0000,-1.4533,0.305
1.360,11,10.8200,0.3124,0.275
1.360,12,11.6400,-1.1507,0.320
1.360,13,12.4600,0.5075,0.266
1.360,14,13.2800,0.0951,0.318
1.360,15,14.1000,1.3498,0.295
1.400,0,1.8000,-1.3248,0.299
1.400,1,2.6200,-0.1778,0.289
1.400,2,3.4400,-0.2324,0.267
1.400,3,4.2600,0.1469,0.276
1.400,4,5.0800,-1.0198,0.329
1.400,5,5.9000,-2.2051,0.307
1.400,6,6.7200,-0.3968,0.328
1.400,7,7.5400,-1.1587,0.305
1.400,8,8.3600,-0.4739,0.282
1.400,9,9.1800,1.0570,0.278
1.400,10,10.0000,-1.4638,0.305
